Stud_ID,MCQ1,MCQ2,MCQ3,MCQ4,MCQ5,MCQ6,MCQ7,MCQ8,MCQ9,MCQ10,MCQ11,MCQ12,MCQ13,MCQ14,MCQ15,MCQ16,score,finalGrade (7+1)
20150383,D,B,C,D,D,A,C,A,D,B,A,B,B,B,D,E,7,4.5
20170252,A,E,C,E,E,A,D,E,C,B,A,B,E,C,E,E,7,4.5
20170456,A,B,C,D,E,E,E,E,C,D,A,B,D,C,A,B,9,5
20180129,D,E,E,E,D,D,A,E,C,D,A,B,D,C,C,E,9,5
20180467,D,E,D,E,D,A,C,A,A,C,A,B,E,D,C,E,7,3.5
20190012,D,E,B,B,E,A,D,E,C,D,A,B,D,E,B,D,8,4.5
20190028,D,B,A,C,D,E,D,E,C,D,A,B,D,C,C,D,9,5.5
20190223,A,B,E,B,E,A,E,E,C,A,A,A,B,A,C,E,9,5
20190261,D,B,A,B,D,D,C,E,B,C,A,B,D,B,B,A,8,5
20190529,C,C,A,A,E,E,B,B,C,D,A,B,E,B,A,D,4,2.5
20190816,C,D,D,E,E,E,D,D,C,C,A,A,C,A,E,D,3,1.5
20200077,D,B,A,B,E,E,E,D,C,D,A,B,B,B,C,D,7,4.5
20200361,D,C,D,D,D,A,C,A,C,B,A,B,D,B,C,D,8,4
20200363,B,D,A,A,E,E,D,E,C,D,A,C,E,B,A,A,4,2.5
20200499,B,C,D,A,A,E,E,E,D,D,A,C,E,B,E,B,4,2
20200635,D,B,D,B,D,B,C,E,C,B,A,B,D,C,C,D,11,5.5
20200679,D,C,E,B,D,A,E,E,C,B,A,B,D,B,C,E,11,6
20200724,B,B,C,B,D,B,C,E,C,B,A,B,D,E,A,A,9,5
20200740,A,E,A,B,D,E,C,E,C,C,A,A,D,B,C,D,6,4
20200801,D,B,E,B,C,A,E,E,C,C,A,B,D,B,C,E,11,6
20200879,D,B,C,B,C,E,E,A,C,B,A,B,D,C,C,D,9,5.5
20200884,D,B,A,E,C,A,C,E,C,C,A,A,D,E,B,E,8,5
20201205,D,B,C,A,D,E,D,E,C,C,A,B,D,B,C,D,8,5
20210006,D,B,E,B,D,A,A,E,C,A,A,B,D,C,C,D,12,6.5
20210009,D,B,A,E,A,A,A,E,C,A,A,B,D,B,C,C,9,5.5
20210014,D,B,C,E,C,C,D,A,C,A,A,B,D,C,C,C,8,5
20210015,D,B,B,A,E,A,A,E,C,A,A,B,D,E,E,D,9,5
20210018,D,E,A,D,D,A,E,D,C,D,A,B,E,C,B,D,8,5
